TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
6JUTU3NGCbm1tcoTVamt,2/15/25,11:52:03,BASEB45, ,Countermovement Jump,,,836.518,0.361,226.9274,-0.2047,14016.5289,-12352.3021,2528,302.2051,1607.6694,192.1859,2528,302.2051,2051,245.183,2742,327.7873,0.227,42.4299,0.121,22.6168,0.187,34.9533,0.545,0.535,92.4523,228.3586,578.4585,320.811,2.47,-0.7431,-1.0916,1.7886,2.6612,2.8027,-1041.4681,-12.2135,-1295.6185,-15.194,3116.7261,36.5504,59.5315,5076.3682,-5.6962,1192,1336,1.0744,812.4711,795.1983,-5.0328,1302,1440,-4.1933,982.4973,1068.5027,-20.9906,5537.1901,8479.3388,2.313,-8.052,N/A,0.3642,1.0466,0.348,-5009.7824,6517,994.6473,779.0627,-14.8074,2776,3741,-24.1844,377.049,617.5983,N/A,1.0187,0.6747,193.671,2.2712,1.0842,384.7875,4.5125,2.678
Yebb3LUn4lPHLrNLjdAf,2/15/25,11:51:54,BASEB45, ,Countermovement Jump,,,837.706,0.371,230.3736,-0.2179,11514.9254,-10986.7829,2394,285.7805,1490.3209,177.905,2383,284.4673,2075.5882,247.7705,2682,320.1601,0.249,43.6842,0.134,23.5088,0.187,32.807,0.557,0.57,86.6734,232.659,588.236,319.3324,2.6843,-0.7231,-1.0323,1.7407,2.6978,2.8004,-945.2356,-11.0692,-1157.6424,-13.5566,3125.9013,36.606,59.9878,5122.5417,-5.6651,1124,1259,-8.422,682.403,807.9179,-4.8471,1276,1406,-2.4752,1012.107,1063.4813,-6.4161,5388.0597,6126.8657,-15.5471,-4.8464,N/A,0.3872,1.2489,0.31,-4636.4531,5960,989.4698,711.4668,-2.9195,2893,3067,0.6312,497.8579,491.6119,N/A,0.9772,0.6508,198.926,2.3295,1.015,389.31,4.559,2.7246
di312ISM4yWtt0Dwqf33,2/8/25,11:35:58,BASEB45, ,Countermovement Jump,,,850.687,0.3663,232.4597,-0.2256,9062.069,-9619.41,2170,255.0879,1450.9862,170.5664,2164,254.3826,2026.899,238.2661,2541,298.6998,0.274,44.4084,0.145,23.5008,0.198,32.0908,0.558,0.617,86.3834,233.948,612.117,320.3314,2.7083,-0.7071,-1.0039,1.6769,2.6807,2.7799,-902.8413,-10.4114,-1184.099,-13.6549,3005.806,34.6625,57.9562,5025.7494,-3.8817,1040,1124,1.9359,739.5379,711.4483,-5.0767,1206,1335,-3.9315,973.6061,1053.2929,-9.7412,4089.6552,4972.4138,3.8696,-7.5546,960,0.3947,1.29,0.306,-4816.6592,4937,1101.824,580.3545,-21.2072,1945,2992,-28.8267,392.1021,709.7219,44.7594,0.9044,0.5936,209.733,2.4186,0.9962,402.384,4.6402,2.6979
1wb3yc4dogL4SGJsQiva,2/8/25,11:35:52,BASEB45, ,Countermovement Jump,,,852.139,0.3437,225.5792,-0.2063,15293.578,-12225.4271,2522,295.9611,1687.3211,198.0101,2522,295.9611,2119.6742,248.7475,2775,325.6511,0.28,49.3827,0.109,19.224,0.178,31.3933,0.54,0.567,90.1933,226.8663,561.6235,317.0596,2.5153,-0.7017,-1.0437,1.705,2.5969,2.7024,-1032.0027,-11.8806,-1368.0905,-15.7497,3104.5305,35.74,57.8173,5022.2593,-5.3132,1194,1328,-3.6495,812.8716,874.4495,-3.7838,1335,1440,-0.9494,1049.7753,1069.8989,-9.778,6899.0826,8394.4954,-6.9892,-1.9178,980,0.3688,1.3126,0.281,-4947.2391,4627,1087.8439,542.9865,-10.482,2071,2556,2.9325,559.8724,527.9714,5.7066,0.9524,0.6062,183.0765,2.1076,1.0383,378.547,4.3579,2.6117
TL9bkBRF9UckuoXFa5hT,2/14/25,15:20:41,BASEB42, ,Countermovement Jump,,,821.785,0.5036,263.3233,-0.3818,8576.4706,-5980.2223,2283,277.8099,1572.9176,191.4026,2282,277.6882,1814.5602,220.8072,2284,277.9316,0.301,40.8412,0.17,23.0665,0.266,36.0923,0.662,0.737,126.9576,265.1937,750.4495,392.1512,2.0888,-1.0358,-1.5285,1.8823,3.1434,3.2188,-1426.8316,-17.0327,-1807.1254,-21.5724,3107.5466,37.0961,61.8145,5178.211,-2.9798,1107,1175,0.9851,794.2059,778.7118,-2.9772,1108,1176,-2.3364,886.0827,928.4774,-4.9383,4076.4706,4500,1.982,-4.5591,N/A,0.5689,3.2885,0.173,-8698.1118,4923,1159.6706,599.0618,-6.5204,2301,2622,-35.5747,373.5609,786.1098,N/A,0.8982,0.6833,266.661,3.1832,1.5155,483.7885,5.7752,3.1657
s8nuFhMtJDxeOg7mUcqt,2/14/25,15:20:36,BASEB42, ,Countermovement Jump,,,822.583,0.4929,260.7644,-0.3684,10068.4932,-6232.9143,2296,279.1208,1759.3836,213.8852,2301,279.7286,1852.9328,225.2579,2294,278.8776,0.282,41.4097,0.146,21.4391,0.253,37.1512,0.662,0.681,136.0309,261.8015,726.043,397.8324,1.9246,-1.0418,-1.6252,1.8705,3.1098,3.1784,-1615.4829,-19.266,-2219.2113,-26.466,3146.2989,37.5223,61.3645,5145.5065,-3.5202,1110,1191,-0.2421,877.5616,881.8219,-3.9233,1102,1192,-3.7786,891.4585,961.4743,-8.8435,4589.0411,5479.4521,-0.434,-7.2658,N/A,0.5801,3.2406,0.179,-7131.5516,5576,1222.2136,677.8647,-10.2941,2501,3075,-22.3231,474.6888,747.5248,N/A,0.9721,0.7238,256.128,3.0545,1.6223,469.915,5.6041,3.1222
yycWrriOhAsvLP7pDn8N,2/8/25,11:37:24,BASEB42, ,Countermovement Jump,,,829.167,0.4584,253.4757,-0.4082,8245.614,-5495.0169,2243,270.5125,1632.3918,196.8713,2242,270.3919,1729.6312,208.5987,2244,270.6331,0.303,40.0794,0.171,22.619,0.282,37.3016,0.636,0.756,136.6409,255.0294,767.283,391.6703,1.8664,-1.0733,-1.6256,1.8394,2.9989,3.0842,-1543.0068,-18.2555,-2016.7596,-23.8606,2877.3005,34.0418,55.6698,4705.3591,-5.2632,1062,1180,-2.7653,793.6257,838.7661,-4.902,1067,1177,-2.0301,847.2589,882.3723,-5.5319,3894.7368,4350.8772,-5.3689,-3.9882,N/A,0.533,2.7054,0.197,0,5095,662.0491,614.4721,-5.8292,2399,2696,-32.2606,224.2341,437.815,N/A,0.8413,0.6063,278.4285,3.2941,1.6166,488.8545,5.7837,3.0173
yDMw5Tn42BxZwJ6Bokfw,2/8/25,11:37:16,BASEB42, ,Countermovement Jump,,,829.266,0.4488,250.8554,-0.3573,9724.8322,-6384.072,2281,275.0625,1683.6443,203.0283,2280,274.9419,1840.8835,221.9895,2283,275.3037,0.304,43.3048,0.149,21.2251,0.249,35.4701,0.625,0.702,126.5709,253.0083,709.627,379.5791,1.9989,-0.9963,-1.5134,1.8128,2.9676,3.0449,-1475.9315,-17.4599,-1972.8448,-23.3382,3002.9526,35.5241,57.1441,4830.5471,-5.614,1076,1204,-3.5609,811.8456,871.7987,-5.3876,1080,1203,-3.3706,889.4177,951.4659,-5.5901,4590.604,5134.2282,-6.8654,-6.5278,820,0.5074,2.537,0.2,-6637.9833,5648,1155.1866,681.0842,4.3201,2946,2702,8.4392,626.3378,528.8488,15.5737,0.8903,0.6394,250.1315,2.959,1.4973,459.4955,5.4357,2.993
H5UEe8eo5RrIwSaEuUzy,2/25/25,15:22:03,BASEB2,NA,Countermovement Jump,,,800.109,0.4571,244.2516,-0.3302,9755.3957,-6541.8542,2160,269.9632,1649.6187,206.1742,2169,271.0881,1852.2371,231.4981,2181,272.5879,0.29,43.8729,0.139,21.0287,0.232,35.0983,0.617,0.661,117.3968,245.1537,659.391,362.5506,2.0882,-0.9264,-1.441,1.7884,2.9947,3.0714,-1350.3713,-16.5567,-1788.4829,-21.9283,3012.4781,36.9355,61.7889,5039.5374,-5.5786,1024,1145,-5.5862,778.7338,870.8849,-4.9977,1036,1145,-2.2999,904.819,947.4181,-10.0295,4388.4892,5366.9065,-10.558,-4.5192,N/A,0.4736,2.3218,0.204,-7570.8065,6388,1100.2609,798.3912,-12.68,2789,3599,-32.5038,371.3171,728.9437,N/A,0.9334,0.6915,228.612,2.803,1.4394,430.779,5.2817,3.0058
0keKP5uYXvzpVmRfvgOW,2/25/25,15:21:57,BASEB2,NA,Countermovement Jump,,,801.631,0.4571,244.7178,-0.3421,11687.0229,-6815.9249,2332,290.9069,1771.3893,220.9732,2333,291.0317,1886.7699,235.3664,2333,291.0317,0.304,45.9909,0.131,19.8185,0.226,34.1906,0.616,0.661,126.2648,246.3874,658.8345,372.6522,1.9514,-0.9861,-1.5562,1.8292,2.9947,3.0765,-1545.8034,-18.9168,-2152.8066,-26.3451,3092.9464,37.8501,61.7652,5047.1902,-1.6717,1147,1186,-0.3534,882.5649,888.8244,-1.6717,1147,1186,-1.6744,927.5885,959.1814,-3.7231,5625.9542,6061.0687,-0.683,-3.2964,N/A,0.4704,1.8303,0.257,-5344.6413,6458,1108.084,805.6076,-22.3908,2506,3952,-12.5111,484.7252,623.3588,N/A,0.9319,0.6915,231.2785,2.8303,1.5452,427.556,5.2322,3.0152
