TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
zKUSH0rx46d5jAd5jPrj,1/16/25,14:28:16,MBB18, ,Countermovement Jump,,,849.445,0.4031,243.5015,-0.2525,8388.8889,-8760.1091,2212,260.4053,1463.8642,172.3318,2212,260.4053,1899.5129,223.6181,2240,263.7016,0.254,39.1975,0.162,25,0.232,35.8025,0.561,0.648,98.8524,244.6963,678.23,343.5487,2.4754,-0.7885,-1.146,1.6957,2.8121,2.9054,-1020.7843,-11.7887,-1240.2309,-14.3231,2921.2698,33.7369,58.2708,5045.6509,9.5841,1212,1000,9.4963,801.4383,662.4259,8.6607,1217,1023,2.3148,971.7414,927.7716,11.1111,4660.4938,3728.3951,17.3379,4.5709,N/A,0.3656,1.6469,0.222,-12639.7005,4101,1056.6871,482.7858,-6.852,1910,2191,9.1196,576.5264,480.1608,N/A,0.8657,0.622,236.4625,2.7308,1.1416,441.7675,5.1018,2.8259
nZIoeHkhDqFxCKxsP7Ln,1/16/25,14:28:10,MBB18, ,Countermovement Jump,,,846.538,0.406,243.5443,-0.2575,7448.7179,-7812.4445,2012,237.6739,1499.3397,177.1143,2012,237.6739,1902.368,224.7233,2177,257.1651,0.224,36.6612,0.156,25.5319,0.231,37.8069,0.573,0.611,101.2506,244.8772,673.738,346.1278,2.4185,-0.7647,-1.1794,1.6335,2.8223,2.9035,-1032.1053,-11.9604,-1407.4354,-16.3099,2875.6495,33.3241,59.7026,5151.9405,6.8588,1075,937,3.0693,772.6795,726.6603,3.537,1127,1050,4.6511,995.4242,906.9437,19.7935,4461.5385,2987.1795,5.8771,8.892,N/A,0.3958,2.0089,0.197,-12355.7411,4573,1030.2062,540.2002,6.3634,2432,2141,11.9286,576.5478,453.6585,N/A,0.9378,0.6644,233.3105,2.7037,1.1733,440.4275,5.1038,2.8377
3yj82kfgNmqWwAaUgeWw,1/13/25,10:26:48,MBB18, ,Countermovement Jump,,,851.175,0.417,248.1942,-0.2569,11687.0229,-9317.5257,2394,281.2583,1730.1603,203.2673,2385,280.2009,2002.4491,235.257,2496,293.2417,0.252,42.0701,0.131,21.8698,0.216,36.0601,0.58,0.599,114.3741,249.8442,659.576,364.2183,2.1844,-0.8592,-1.3279,1.7802,2.8605,2.9508,-1315.2329,-15.1584,-1817.6615,-20.949,3164.1704,36.4678,59.1601,5133.0873,7.086,1277,1108,12.551,973.6565,756.5038,5.1282,1312,1184,1.1077,1012.3148,990.1343,1.3717,5923.6641,5763.3588,22.3622,2.2398,N/A,N/A,N/A,N/A,-8262.5621,5696,1101.0168,669.1926,-11.9733,2507,3189,-23.407,421.6509,679.3658,N/A,0.9683,0.6962,225.878,2.6033,1.3182,433.698,4.9985,2.8795
24jhkonAsPNljSAdMzRI,1/13/25,10:26:41,MBB18, ,Countermovement Jump,,,849.906,0.4246,250.0654,-0.2732,9763.8889,-8290.1022,2265,266.5001,1629.2917,191.7026,2258,265.6764,1949.5658,229.386,2348,276.2658,0.261,41.2322,0.144,22.7488,0.228,36.019,0.587,0.633,111.5235,251.8374,679.526,363.361,2.2582,-0.8506,-1.2981,1.7679,2.8864,2.9743,-1229.8419,-14.1954,-1673.7218,-19.3189,3090.8003,35.6754,58.0087,5025.6815,8.4145,1224,1034,4.7149,853.0556,776.2361,7.9216,1267,1081,4.0452,1014.2149,935.3509,9.5306,5347.2222,4416.6667,8.9782,7.797,N/A,N/A,N/A,N/A,-18266.0807,6518,1164.1282,766.9083,-23.0746,2507,4011,15.1078,670.0013,494.1269,N/A,0.9273,0.6708,233.91,2.6999,1.2873,445.616,5.1435,2.9068
xfLGZPCpCQ255WgWq3FJ,1/6/25,10:36:11,MBB18, ,Countermovement Jump,,,861.615,0.3741,237.9439,-0.259,8305.1948,-8251.7742,2137,248.0226,1587.3896,184.2342,2137,248.0226,1854.3125,215.2136,2172,252.0847,0.261,39.8473,0.154,23.5115,0.24,36.6412,0.554,0.655,111.1243,239.3024,689.903,350.4267,2.1535,-0.8249,-1.2712,1.6313,2.7091,2.8076,-1171.5183,-13.3384,-1606.1911,-18.2874,2753.3935,31.349,54.2702,4766.5672,1.4506,1084,1053,3.7258,823.2662,764.1234,1.4733,1102,1070,0.2923,929.8667,924.4458,-4.9257,3948.0519,4357.1429,7.2251,0.5896,N/A,N/A,N/A,N/A,-8178.2367,3560,1020.0059,413.1776,-11.9663,1567,1993,0.7669,513.9141,506.0918,N/A,0.8458,0.5711,243.813,2.776,1.2652,446.09,5.079,2.7246
Ob5hrQXBCzhsXf0aZTmr,1/6/25,10:36:04,MBB18, ,Countermovement Jump,,,859.546,0.4166,250.5111,-0.2432,9705.8824,-9643.9501,2345,272.8184,1597.6928,185.8764,2337,271.8877,2043.9387,237.7928,2535,294.9231,0.217,37.2852,0.153,26.2887,0.212,36.4261,0.576,0.582,112.174,252.2397,678.148,364.4137,2.2486,-0.8498,-1.2908,1.7834,2.8591,2.9495,-1207.4907,-13.7811,-1491.1398,-17.0184,3227.8957,36.84,59.0461,5173.5808,6.8892,1249,1088,3.2715,824.9804,772.7124,5.0888,1332,1203,3.2911,1055.6038,988.3349,9.6296,5320.2614,4385.6209,6.3083,6.3927,N/A,N/A,N/A,N/A,-11503.9155,5310,946.1367,617.768,-10.5085,2376,2934,-20.8184,374.583,571.5537,N/A,0.9897,0.7159,243.6845,2.7812,1.2802,434.4635,4.9585,2.8788
7BKE5TNjgFd9FPqFzC5Y,12/26/24,19:00:08,MBB18, ,Countermovement Jump,,,845.792,0.3695,232.1398,-0.2038,9357.6642,-10474.0684,2135,252.4261,1491.7737,176.376,2124,251.1256,2077.2011,245.5924,2571,303.9754,0.268,45.1178,0.137,23.064,0.189,31.8182,0.552,0.594,87.8535,233.7723,597.354,321.6258,2.6609,-0.6806,-1.0286,1.6598,2.6925,2.784,-908.6178,-10.5387,-1187.6469,-13.775,3063.2489,35.5294,60.3544,5203.5946,6.968,1136,988,1.2091,754.9051,736.8686,3.7729,1334,1237,3.7054,1077.0847,1000.1164,16.0686,5430.6569,3927.0073,2.298,7.1671,N/A,N/A,N/A,N/A,-8063.1778,4014,1008.6095,474.5848,-3.139,1944,2070,-11.8367,444.6118,563.9977,N/A,0.9293,0.622,203.727,2.3629,1.019,393.627,4.5655,2.7114
VfoyavkERF3qbtERQCyU,12/26/24,19:00:01,MBB18, ,Countermovement Jump,,,846.345,0.395,240.181,-0.2402,8269.7368,-8772.0895,2107,248.9529,1486.8487,175.6788,2101,248.2439,2020.2585,238.7039,2443,288.653,0.238,40,0.152,25.5462,0.205,34.4538,0.567,0.595,96.7241,241.6828,640.552,338.4068,2.4987,-0.7591,-1.1291,1.6868,2.7839,2.8775,-1004.292,-11.6408,-1296.7229,-15.0303,3064.0661,35.5156,60.9302,5256.6754,7.1871,1126,975,6.7774,793.8092,693.0395,4.3799,1275,1168,3.0276,1040.7122,979.5463,15.1949,4763.1579,3506.5789,12.6527,5.9151,N/A,N/A,N/A,N/A,-7214.9732,5107,1017.5558,603.4182,10.6716,2826,2281,-1.1281,503.0384,514.5174,N/A,0.9529,0.6639,225.3685,2.6123,1.1211,415.1835,4.8124,2.8013
Ni1SI8UfPkEf2YUfT9Ed,12/17/24,12:08:11,MBB18, ,Countermovement Jump,,,843.518,0.3922,238.5149,-0.2376,12403.2258,-10000.1398,2376,281.6775,1662.1129,197.0453,2376,281.6775,2047.5404,242.7382,2562,303.728,0.284,46.8647,0.124,20.462,0.198,32.6733,0.571,0.606,100.7308,239.5564,611.9,340.2872,2.3782,-0.7741,-1.1744,1.7553,2.7739,2.8671,-1131.1296,-13.1549,-1528.3228,-17.7742,3157.1111,36.7168,59.4363,5110.6619,9.0067,1295,1081,6.1513,882.1774,779.9355,5.1522,1347,1215,4.9616,1074.5657,972.9747,12.2237,6959.6774,5443.5484,11.5505,9.4637,N/A,N/A,N/A,N/A,-5628.4954,3380,1011.7064,400.7028,69.7633,2869,511,41.3078,714.8102,296.8962,N/A,0.9422,0.6472,205.327,2.3879,1.1715,406.573,4.7284,2.786
QlcqhiJyR3kkav6T1380,12/17/24,12:08:04,MBB18, ,Countermovement Jump,,,840.371,0.4033,240.9698,-0.2749,8189.8734,-7772.3615,2137,254.2924,1566.2785,186.3794,2137,254.2924,1930.2579,229.6912,2297,273.3317,0.249,39.6497,0.158,25.1592,0.221,35.1911,0.564,0.628,114.0389,241.9155,674.455,355.9544,2.1213,-0.8671,-1.3328,1.7286,2.8129,2.9121,-1210.2421,-14.1277,-1631.7683,-19.0483,2991.4979,34.921,59.2514,5075.7589,4.8198,1120,1017,1.9542,798.443,767.8354,3.7875,1192,1105,1.8446,982.9321,947.3258,8.8099,4455.6962,3734.1772,3.7962,3.6419,N/A,N/A,N/A,N/A,-9957.1831,4811,958.2951,572.4852,-22.8019,1857,2954,-4.8538,455.8909,502.4043,N/A,0.8981,0.6422,246.8175,2.8812,1.3312,427.6375,4.992,2.824
