TestId,Date,Time,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Height,Landing Performance Index,Landing Phase,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
OkAeTl6Y7jXN0nNyoY0A,2/11/25,16:22:34,MLAX9,NA,Countermovement Jump,,,1064.304,0.3483,283.6168,-0.2874,8552.795,-8502.438,2444,229.6336,1823.7826,171.3592,2440,229.2578,2221.6911,208.7459,2545,239.1234,0.36,46.9361,0.161,20.9909,0.246,32.073,0.537,0.767,121.5846,285.9217,840.678,407.5063,2.3516,-0.7502,-1.1323,1.5833,2.6142,2.7252,-1230.4708,-11.3416,-1649.1264,-15.2005,3197.6467,29.4736,51.7413,5613.5052,1.3115,1236,1204,-1.5901,897.3913,926.3913,2.3183,1302,1243,2.6304,1140.065,1081.626,2.8322,4397.5155,4155.2795,-3.1513,5.104,N/A,0.3556,1.6851,0.211,-10645.7583,4093,1526.8528,384.5706,-3.8358,1968,2125,3.4121,789.4752,737.3776,N/A,0.7001,0.4541,292.9375,2.7001,1.1207,547.7405,5.0487,2.6354
0upk88KFPenvFyTyq5We,2/11/25,16:22:28,MLAX9,NA,Countermovement Jump,,,1065.943,0.3537,286.2442,-0.2807,8641.5094,-8700.113,2442,229.0929,1848.9434,173.4561,2442,229.0929,2245.3045,210.6402,2564,240.5382,0.331,45.1569,0.159,21.6917,0.243,33.1514,0.54,0.733,123.8056,287.7884,840.103,411.5939,2.3245,-0.7482,-1.144,1.5769,2.6343,2.7341,-1244.7232,-11.4553,-1642.1899,-15.1133,3238.1812,29.8014,52.6298,5718.6895,2.5389,1252,1190,2.3886,946.5535,902.3899,2.0281,1308,1256,2.1501,1146.7901,1098.5144,5.0946,4540.8805,4100.6289,4.6534,4.2081,N/A,0.3589,1.5471,0.232,-9465.8481,5010,1875.13,470.0064,-20.7585,1985,3025,-10.9628,834.782,1040.348,N/A,0.7367,0.4825,293.2905,2.6992,1.1394,546.8125,5.0324,2.6486
tn1qBSM2NYlCkiKji4oU,3/4/25,17:13:50,MLAX40,NA,Countermovement Jump,,,753.491,0.384,210.8378,-0.2072,8679.1045,-9261.826,1919,254.6812,1324.6791,175.8056,1919,254.6812,1864.1684,247.4042,2245,297.9465,0.242,42.7562,0.134,23.6749,0.19,33.5689,0.563,0.566,75.9522,211.9677,532.051,287.9199,2.7908,-0.6438,-0.9941,1.6496,2.745,2.823,-768.381,-10.0039,-1030.6387,-13.4183,2771.3177,36.0809,61.3999,4716.0312,6.9307,1026,893,7.1237,709.5224,615.1567,2.0935,1146,1099,2.1118,951.7684,912.4,3.1814,4477.6119,4201.4925,13.3224,4.1591,N/A,0.391,2.3412,0.167,-11455.5175,6231,915.0595,826.9508,9.0355,3397,2834,-6.0942,429.6468,485.4127,N/A,0.9947,0.6785,176.92,2.3034,0.9889,355.131,4.6236,2.7597
vThalRJu4eEIv4G3uHVz,3/4/25,17:13:43,MLAX40,NA,Countermovement Jump,,,752.532,0.3777,208.823,-0.2601,9130.7692,-7459.6042,1940,257.7963,1392.1846,185.0001,1937,257.3977,1696.1081,225.3868,2070,275.0714,0.299,45.9293,0.13,19.9693,0.222,34.1014,0.559,0.651,82.5583,210.4284,557.878,292.9867,2.5488,-0.7371,-1.0877,1.7131,2.7222,2.8469,-903.7192,-11.7809,-1186.2264,-15.4636,2573.9634,33.5542,56.1554,4307.7206,2.0134,988,949,1.7869,708.5308,683.6538,2.6087,1062,1008,-1.9547,831.4775,864.6306,-2.1061,4469.2308,4661.5385,3.538,-3.8078,N/A,0.3856,2.6965,0.143,-17628.562,4072,858.6437,541.1066,-29.0275,1445,2627,-14.8414,365.6044,493.0393,N/A,0.8587,0.5802,180.3875,2.3515,1.0762,377.4905,4.921,2.7431
ljrgEp09RKJd5Ot8gpw5,2/18/25,16:23:36,MLAX40,NA,Countermovement Jump,,,737.184,0.3906,208.0259,-0.215,9149.6063,-8813.2729,1895,257.0593,1427.9449,193.7026,1895,257.0593,1793.0914,243.2353,2218,300.8747,0.228,41.3043,0.127,23.0072,0.197,35.6884,0.577,0.552,87.1406,208.9443,534.9325,296.0849,2.3978,-0.7452,-1.1625,1.7023,2.7683,2.8575,-949.13,-12.6304,-1338.5541,-17.8127,2721.5443,36.2167,59.7989,4493.6585,5.1187,996,899,1.1861,722.4409,705.5039,0.4509,1114,1104,0.3451,899.6396,893.4518,-2.7539,4448.8189,4700.7874,2.3703,0.7216,N/A,0.4233,2.5653,0.165,-9485.5652,4913,1004.4418,666.4551,0.5496,2470,2443,-0.3378,500.5246,503.9172,N/A,1.0453,0.7076,180.763,2.4055,1.1596,354.1695,4.7131,2.7805
lHBzqKTRyXVY4PEYuAD8,2/18/25,16:23:21,MLAX40,NA,Countermovement Jump,,,736.282,0.4141,213.9435,-0.2534,9447.1545,-7510.7405,1903,258.4608,1449.7886,196.9067,1896,257.51,1749.0472,237.5513,2122,288.2048,0.328,49.4721,0.123,18.552,0.212,31.9759,0.582,0.663,87.1753,215.6417,549.4715,302.817,2.4737,-0.7428,-1.1746,1.7476,2.8505,2.9439,-967.8233,-12.895,-1375.5015,-18.3268,2729.9676,36.3733,60.273,4523.7459,9.1772,1035,861,10.3508,799.9268,649.8618,4.2413,1106,1016,1.7983,890.25,858.7972,-0.5164,4699.187,4747.9675,18.8159,3.5827,N/A,0.4139,3.3111,0.125,-27261.3753,5681,1046.7977,771.5794,-5.8616,2674,3007,-2.6445,509.5575,537.2402,N/A,0.8778,0.6246,177.738,2.3681,1.1615,371.7335,4.9529,2.8731
xdoINo9Flx00JhEgbsMS,2/11/25,16:27:33,MLAX40,NA,Countermovement Jump,,,749.281,0.3765,207.5809,-0.2249,12570.0935,-9313.9042,2095,279.6014,1546.9813,206.4621,2089,278.8006,1840.3717,245.6184,2255,300.9552,0.326,52.2436,0.107,17.1474,0.191,30.609,0.56,0.624,84.6729,209.4248,517.3835,294.0978,2.4733,-0.7335,-1.1234,1.6865,2.7178,2.805,-1000.0073,-13.0926,-1381.8795,-18.0923,2745.8041,35.9496,58.8148,4492.2322,2.2499,1068,1021,5.6287,817.028,729.9533,-0.3104,1124,1131,-1.5007,906.377,933.9948,-5.5762,5934.5794,6635.514,10.7361,-2.9179,N/A,0.3884,2.4741,0.157,-12374.0062,4602,1406.875,614.1888,-10.9083,2050,2552,9.2236,768.3194,638.5556,N/A,0.8974,0.6033,164.846,2.1583,1.1086,352.5375,4.6156,2.7419
c6QyHm2UQHtKGswVGarV,2/11/25,16:27:27,MLAX40,NA,Countermovement Jump,,,749.95,0.3551,201.7916,-0.1939,10203.252,-10346.4821,2006,267.4845,1353.6504,180.4988,2006,267.4845,1882.5899,251.0287,2388,318.4212,0.28,48.1928,0.123,21.1704,0.178,30.6368,0.548,0.581,73.6256,202.5934,501.954,276.2191,2.7517,-0.6459,-0.9642,1.6566,2.6396,2.7275,-773.2824,-10.1152,-1007.3927,-13.1776,2743.9386,35.8931,58.7003,4487.4914,3.1904,1035,971,6.516,720.9268,632.7236,-0.1675,1192,1196,-0.6276,935.3876,947.2022,-2.6295,4967.4797,5235.7724,12.2969,-1.214,N/A,0.3779,2.8847,0.131,-19766.1749,6440,1248.972,858.7239,-6.8634,2999,3441,-2.6799,607.7506,641.2214,N/A,0.9432,0.6112,165.8695,2.1697,0.9631,336.0845,4.3963,2.6501
DxQPQPNP2lSfDMTY5HI4,3/4/25,17:13:05,MLAX11,NA,Countermovement Jump,,,890.568,0.3802,247.9301,-0.322,10348.9933,-7561.147,2435,273.421,1740.8389,195.4751,2434,273.3087,1890.2851,212.2561,2437,273.6456,0.31,43.7853,0.149,21.0452,0.249,35.1695,0.554,0.708,125.9144,250.1251,730.4855,376.0394,1.9865,-0.9452,-1.4018,1.6693,2.7311,2.8441,-1440.3144,-15.8657,-1882.0739,-20.7319,2851.061,31.4057,56.9925,5173.8735,-12.9827,1059,1375,-11.6048,769.4094,971.4295,-12.5154,1066,1371,-13.7662,815.0321,1075.253,-18.677,4208.0537,6140.9396,-20.7639,-24.1927,700,0.3702,3.7023,0.1,-32438.2359,7327,1240.1071,822.7334,-2.9071,3557,3770,24.2913,770.6729,469.4343,39.1096,0.7825,0.5369,258.609,2.8487,1.387,471.8765,5.1979,2.7552
J8YJLiJ9yhlng9BeQGfE,3/4/25,17:13:00,MLAX11,NA,Countermovement Jump,,,890.814,0.3603,241.4459,-0.2944,10048.951,-7903.2032,2327,261.2218,1732.0559,194.4352,2324,260.885,1878.3959,210.8629,2332,261.783,0.336,46.4088,0.143,19.7514,0.245,33.8398,0.544,0.724,119.5741,243.1021,708.312,362.6762,2.0331,-0.8877,-1.3256,1.638,2.6589,2.7849,-1348.6768,-14.8522,-1880.9542,-20.7138,2774.0738,30.5492,56.3331,5115.4241,-15.7487,979,1345,-13.4494,749.5524,982.5035,-15.4374,986,1346,-19.225,758.6367,1119.7592,-24.1475,3811.1888,6237.7622,-23.6607,-32.2334,N/A,0.3634,3.1058,0.117,-29937.1794,6572,1147.7342,737.7522,-7.2428,3048,3524,19.5498,686.057,461.6772,N/A,0.7514,0.4977,246.9605,2.7196,1.3168,461.3515,5.0806,2.6771
